adult,original_language,popularity,runtime,title,vote_average,vote_count,Year,budget,revenue
FALSE,en,183.870374,101,John Wick,7,5499,2014,20,88.761661
FALSE,en,17.887943,141,The Judge,7.2,1433,2014,50,83.719388
FALSE,en,36.713807,135,Fury,7.4,4028,2014,68,211.817906
FALSE,da,8.253705,100,The Salvation,6.2,285,2014,10.5,42.07
FALSE,en,13.655752,102,St. Vincent,7.1,770,2014,13,54.837234
FALSE,en,7.861004,81,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",6.1,502,2014,28,100.654149
FALSE,en,11.519053,110,Left Behind,3.7,396,2014,16,19.682924
FALSE,en,13.288564,89,Ouija,4.9,1006,2014,5,103.590271
FALSE,en,21.277073,117,Nightcrawler,7.6,3475,2014,8.5,38.697217
FALSE,en,213.849907,102,Big Hero 6,7.8,6289,2014,165,652.105443
FALSE,es,11.127717,105,Marshland,7.1,255,2014,4,5.169755
FALSE,en,10.337994,95,The Book of Life,7.3,778,2014,50,97.437106
FALSE,en,14.14078,108,Ex Machina,7.6,4862,2015,15,36.869414
FALSE,en,8.406056,100,Kung Fu Dunk,5,50,2008,10,22.896728
FALSE,de,4.645724,120,Paradise: Love,6.7,53,2012,3.6,0.024267
FALSE,en,8.10357,134,Foxcatcher,6.5,965,2014,24,12.0963
FALSE,en,6.842107,106,Wolf Creek 2,5.9,156,2013,8,9.630444
FALSE,en,8.883866,87,Walking With Dinosaurs,5.2,136,2013,80,126.546518
FALSE,en,0.673247,96,Remington and the Curse of the Zombadings,5.3,5,2011,0.022361,0.721651
FALSE,ru,0.595196,131,Stalingrad,5.7,93,2013,30,68.129518
FALSE,en,31.59594,113,The Imitation Game,8,5895,2014,14,233.555708
FALSE,en,13.52638,148,Inherent Vice,6.5,852,2014,20,11.110975
FALSE,en,147.098006,123,The Hunger Games: Mockingjay - Part 1,6.6,5767,2014,125,752.100229
FALSE,en,16.320249,150,Exodus: Gods and Kings,5.6,1957,2014,140,268.031828
FALSE,en,15.402597,110,Dumb and Dumber To,5.4,1140,2014,40,169.83701
FALSE,en,1.962873,90,Repentance,5.1,26,2014,5,1.189612
FALSE,en,11.85302,123,The Theory of Everything,7.8,3403,2014,15,123.726688
FALSE,nl,1.572904,102,"Moscow, Belgium",6.4,11,2008,0.56,1.5
FALSE,en,8.268684,107,Dolphin Tale 2,6.7,98,2014,36,52.424533
FALSE,en,6.617708,115,When the Game Stands Tall,6.3,134,2014,15,30.127963
FALSE,hi,2.831069,132,Aashiqui 2,6.8,41,2013,1.3,16
FALSE,no,11.365247,120,Ragnarok,5.7,59,2013,6.5,3.721345
FALSE,ja,1.889519,142,20th Century Boys - Chapter 1: Beginning of the End,6.7,21,2008,20,31.244858
FALSE,en,6.293515,116,Beyond the Lights,7,139,2014,7,14.618727
FALSE,en,11.696923,122,In the Heart of the Sea,6.5,1300,2015,100,93.820758
FALSE,en,32.790475,124,Jurassic World,6.5,8842,2015,150,1513.52881
FALSE,ko,1.049484,100,My Dear Desperado,6.6,6,2010,0.8,4.214668
FALSE,en,20.903362,108,Horrible Bosses 2,6.1,1575,2014,42,107.670357
FALSE,kn,0.449582,136,Lucia,6.8,10,2013,0.079,0.17
FALSE,en,22.201607,92,Penguins of Madagascar,6.5,1375,2014,132,373.552094
FALSE,en,10.763583,121,Black or White,6.5,119,2014,9,21.571189
FALSE,en,9.615664,112,The Water Diviner,6.8,439,2014,22.5,15.520023
FALSE,en,8.823253,99,Still Alice,7.5,1126,2014,5,43.884652
FALSE,en,15.686837,95,Paddington,7,899,2014,55,259.207227
FALSE,en,41.225769,132,Maze Runner: The Scorch Trials,6.5,3148,2015,61,311.256926
FALSE,en,8.151346,124,Clouds of Sils Maria,6.7,267,2014,6.6,1.851517
FALSE,ru,5.921772,170,Hard to Be a God,6.7,41,2013,7,1.310673
FALSE,en,13.524048,112,Kill the Messenger,6.6,359,2014,5,2.450846
FALSE,en,2.999052,92,The Face of Love,5.9,43,2013,4,0.350006
FALSE,en,31.718977,144,The Hobbit: The Battle of the Five Armies,7.1,4884,2014,250,956.019788
FALSE,en,7.107071,127,Selma,7.4,835,2014,20,66.787908
FALSE,en,10.543955,137,Unbroken,7.3,1437,2014,65,163.442937
FALSE,en,0.99099,96,Fat Pizza,5.7,10,2003,0.4,7.888102
FALSE,en,5.219667,85,Khumba,5.8,74,2013,20,27.187375
FALSE,en,6.039895,99,A Girl Walks Home Alone at Night,6.9,258,2014,1,0.395
FALSE,en,14.876086,138,Mommy,8.2,734,2014,4.9,3.49407
FALSE,en,17.187708,125,A Most Violent Year,6.5,550,2014,20,12.00707
FALSE,en,11.209154,115,Wild,7,961,2014,15,52.501541
FALSE,en,7.412826,105,Big Eyes,6.8,1236,2014,10,28.883511
FALSE,en,9.580785,125,Into the Woods,5.6,1688,2014,50,212.902372
FALSE,en,14.526049,112,The Interview,6.1,2340,2014,44,12.342632
